"idtram","nombre","descripcion","requisitos","estatus","tipo","prioridad","nivel","costo","visitas","frecuencia","tiemporesp","vigencia","conteo_etapas","conteo_requisitos"
9919,"Garantias del Interes Fiscal (Estatal)	","Descripción: Solicitud de ofrecimiento de garantías del interés fiscal para los créditos fiscales que se ecuentren impugnados y en el Procediemiento Administrativo de Ejecución.  \nObjetivo: Que las personas físicas y morales puedan garantizar el crédito fiscal a su cargo, así como tener la certeza del cobro del mismo a favor de la Entidad. ","A. En forma virtual \n1) Ingresar al sitio www.hidalgo.gob.mx, en el apartado de ""pagos""\n2) Señalar en el buscador el servicio de “Garantías del interés fiscal estatal”.\n3) Elegir la opción: “Pagar”.\n4) Elegir la opción: “Nueva Solicitud”.\n5) Acceder a la oficina virtual, conforme a lo señalado en la regla 1.1.1\n6) Proporcionar los datos de contacto para que la autoridad le informe el avance de su trámite y seleccionar el tipo de garantía ofrecida.\n7) Cargar a la plataforma los documentos digitalizados que se le soliciten respetando cada uno de los apartados y dar clic en el botón “Enviar”. Podrá omitir los que no correspondan a su caso, dando clic sobre el botón de “No aplica”.\n8) Al final del listado de los documentos requeridos, encontrara el manifiesto de protesta de conducirse con verdad si está de acuerdo, de clic en “Aceptar”.\n9) Al terminar de cargar los archivos, dar clic en el botón “Concluir solicitud”, en caso de no contar con toda la documentación al instante o desee proseguir en otro momento, cuenta con la opción de “Continuar más tarde”.\n10) El sistema proporcionara un folio que será también enviado a través del correo electrónico proporcionado, con él podrá dar continuidad y/o verificar el estatus en que se encuentre su trámite en términos de lo señalado en la regla 1.1.5. \n11) Posteriormente el personal de la oficina “Hidalgo Pagos” atenderá y validará la solicitud y documentos, de ser correcta, el contribuyente podrá generar una cita en términos de lo previsto en la regla 1.2 para concluir su trámite en las oficinas de la autoridad ejecutora.\n12) En caso de no cumplir con la totalidad de los requisitos, dentro de los quince días hábiles siguientes, se le notificará de manera personal el requerimiento de información o documentación faltante en la solicitud, a fin de que en un plazo de quince días hábiles siguientes a aquel en que surta efectos la notificación de dicho requerimiento, cumpla con los requisitos omitidos, en caso contrario no se  aceptara la garantía.\nSi  el contribuyente solventa correctamente el requerimiento, podrá entonces generar una cita en términos de lo previsto en la regla 1.2 para concluir su trámite en las oficinas de la autoridad ejecutora\n\nB. En forma presencial\nI. Escrito libre el cual deberá contener:\n- Nombre, denominación o razón social del o la contribuyente.\n- Clave del R.F.C. \n- Domicilio fiscal manifestado en el RFC.\n- Modalidad de garantía que ofrece.\n- Nombre de la autoridad a la que se dirige y el propósito de la promoción.\n- Número de crédito fiscal que tiene a su cargo el o la contribuyente.\n- Dirección de Correo electrónico.\n- Firma del contribuyente o representante legal. \n- Acreditamiento de la representación de las personas físicas o morales.  \nII. Identificación oficial.\nIII. En caso de representante legal, poder notarial para acreditar la personalidad o carta poder firmada ante dos testigos y ratificadas las firmas ante las autoridades fiscales o fedatario público.\nIV. En caso de estar casado bajo el régimen de sociedad conyugal; original del escrito en que el cónyuge manifieste la aceptación para constituirse como obligado solidario, debidamente firmado; acta de matrimonio e identificación oficial vigente del cónyuge, (personas físicas).\nV. En caso de que el (los) bien (es) se encuentren en copropiedad, original del escrito del copropietario donde se manifieste la aceptación para constituirse como obligado solidario debidamente firmado y original de la identificación oficial vigente del copropietario, (personas físicas y morales).\nVI. En caso de persona moral, Acta Constitutiva debidamente inscrita ante el Registro Publico de la Propiedad y del Comercio.\n","Publicado","Trámite","Alta","De inicio",0,33,"","3 meses 	","1 año de vigencia para todas las formas de garantaizar el interés fiscal. 	",1,2
9950,"Titulación Nivel Licenciatura, Grado Académico Maestría y Especialidad UNIDEH.","Certificar mediante el Título Profesional o Grado Académico la Conclusión de los Estudios.","Requisitos para Titulación de licenciatura (presentar original, copia y archivo digital)\n1.- Certificado de bachillerato;\n2.- Acta de nacimiento;\n3.- Clave única de Registro de Población (CURP);\n4. 4 fotografías tamaño infantil;\n5.- Comprobante de no adeudo financiero;\n6.- Solicitud de certificado;\n7.- Comprobante de pago;\n8.- Archivo digital en formato  en PDF la fotografía  JPEG, JPG;\n\nRequisitos para Grado de Maestría o Especialidad (presentar original y copia)\n1.- Certificado, Cédula, y Título de Licenciatura; Certificado de Grado y Acta de Examen de Grado \n2.- Acta de nacimiento;\n3.- Clave única de Registro de Población (CURP);\n4.- 4 Fotografías tamaño infantil;\n5.- Comprobante de no adeudo financiero;\n6.- Solicitud de certificado;\n7.- Pago de derechos;\n8.- Constancia de no adeudo;\n9.- Archivo digital en (PDF);","Publicado","Trámite","Alta","De inicio",2525,NA,"","12 meses","Permanente",5,6
9951,"Propedéutico UNIDEH.","Solicitud de aspirantes a nivel Licenciatura, Maestría o Especialidad que reúnen los requisitos de la convocatoria vigente, para el proceso de Inscripción e ingreso al curso Propedéutico a la Universidad Digital del Estado de Hidalgo.","1.- Haber cumplido con todos los requisitos de la convocatoria vigente;\n2.- Acreditación del curso propedéutico;\n3.- Enviar formato de inscripción al Servicios Escolares;\n4.- Realizar pago por concepto de inscripción en las fechas señaladas;\n5.- No tener adeudos;","Publicado","Trámite","Alta","Transaccional",1515,NA,"","5 días hábiles","4 meses",3,4
9957,"Dictamen de Equivalencia (ITSOEH)","Es el Proceso Mediante el Cual se Hacen Equiparables  Entre si los Estudios Realizados en Instituciones del Sistema Educativo Nacional Diferentes a las Instituciones Adscritas al TecNM","","Publicado","Trámite","Alta","Informativo",421,NA,"","60 dias","6 meses",6,6
10519,"Admisión UPFIM ","Proceso de selección mediante el cual el aspirante participa para ingresar a algún programa educativo de la UPFIM.","","Publicado","Trámite","Alta","Transaccional",496,NA,"","1 día hábil","De acuerdo a la Convocatoria vigente",3,3
10549,"Titulación en la UICEH","Trámite para atender a los estudiantes egresados de la Universidad Intercultural del Estado de Hidalgo que han cumplido con los requisitos de titulación.\n","","Publicado","Trámite","Alta","De inicio",1471,NA,"","12 meses","sin vigencia",6,12
10600,"Constancia de Estudios (CEH)","Documento Oficial de estudios con el cual los alumnos(as) avalan estar inscritos o que cursaron en algún programa educativo de CEH.","","Publicado","Trámite","Alta","Informativo",134,NA,""," 5 días hábiles","6 meses a partir de su generación ",4,1
10662,"Credencial de Identificación Escolar (CEH)","Identificación que acredita a un estudiante estar inscrito en algún programa educativo de El CEH.","","Publicado","Trámite","Alta","Informativo",53,NA,""," 5 días hábiles","1 año de vigencia ",5,1
10842,"Copias certificadas de los convenios y constancias del procedimiento de conciliación ","Proporcionar copias certificadas de los convenios y constancias del procedimiento de conciliación para que las personas tengan un respaldo claro de lo que sucedió y de los acuerdos tomados.  ","","Publicado","Trámite","Alta","Informativo",134.86,NA,"","10 días hábiles","Sin vigencia",2,1
11098,"Certificado Parcial de Estudios (CEH)","Trámite a través del cual se acredita el avance parcial o total de los estudios realizados en algún programa educativo de El CEH.","","Publicado","Trámite","Alta","Informativo",134,NA,""," 5 días hábiles","6 meses a partir de su generación ",4,1
11198,"Programa de Atención al Pueblo","Atención a la Población de los 84 Municipios del Estado de Hidalgo, con diversas carencias sociales, a la cual se le proporcionará ayuda económica o en especie, siempre y cuando su solicitud no pueda ser atendida por alguna otra Secretaría del Gobierno del Estado.\n\nAtención de necesidades diversas a diferentes grupos de la población del  Estado que tenga alguna carencia social, dentro de los beneficios al otorgar apoyo económico o en especie esta la contribución a disminuir los indices de rezago de la población beneficiaria.","","Publicado","Trámite","Alta","Informativo",0,NA,"","6 horas","Sin vigencia",4,5
11218,"Constancia de Estudios UTSH","Documento oficial que avale la estancia del estudiante en la institución.","","Publicado","Trámite","Alta","Informativo",41.26,NA,"","10 minutos","4 meses",3,1
